UF,UFN,Codmun7,Município,GINI,PMPOB,IDHM
35,São Paulo,3548807,SÃO CAETANO DO SUL,0.54,0.52,0.862
35,São Paulo,3500600,ÁGUAS DE SÃO PEDRO,0.54,0.8,0.854
42,Santa Catarina,4205407,FLORIANÓPOLIS,0.54,1.35,0.847
32,Espírito Santo,3205309,VITÓRIA,0.6,3.51,0.845
42,Santa Catarina,4202008,BALNEÁRIO CAMBORIÚ,0.52,0.95,0.845
35,São Paulo,3548500,SANTOS,0.55,2.39,0.84
33,Rio de Janeiro,3303302,NITERÓI,0.59,3.34,0.837
42,Santa Catarina,4209003,JOAÇABA,0.54,2.61,0.827
53,Distrito Federal,5300108,BRASÍLIA,0.63,4.93,0.824
41,Paraná,4106902,CURITIBA,0.55,1.73,0.823
35,São Paulo,3525904,JUNDIAÍ,0.53,1.87,0.822
35,São Paulo,3556206,VALINHOS,0.54,1.17,0.819
35,São Paulo,3556701,VINHEDO,0.53,1.35,0.817
35,São Paulo,3503208,ARARAQUARA,0.5,2.64,0.815
35,São Paulo,3547809,SANTO ANDRÉ,0.53,3.24,0.815
35,São Paulo,3547304,SANTANA DE PARNAÍBA,0.67,4.71,0.814
31,Minas Gerais,3144805,Nova Lima,0.68,2.84,0.813
35,São Paulo,3520442,ILHA SOLTEIRA,0.48,2.58,0.812
35,São Paulo,3501608,AMERICANA,0.47,1.39,0.811
31,Minas Gerais,3106200,Belo Horizonte,0.6,3.8,0.81
42,Santa Catarina,4209102,JOINVILLE,0.49,1.67,0.809
42,Santa Catarina,4216602,SÃO JOSÉ,0.44,1.36,0.809
41,Paraná,4115200,MARINGÁ,0.49,1.39,0.808
35,São Paulo,3549904,SÃO JOSÉ DOS CAMPOS,0.55,3.89,0.807
35,São Paulo,3541406,PRESIDENTE PRUDENTE,0.54,3.28,0.806
42,Santa Catarina,4202404,BLUMENAU,0.46,1.02,0.806
42,Santa Catarina,4214904,RIO FORTUNA,0.56,0.37,0.806
35,São Paulo,3504008,ASSIS,0.5,3.24,0.805
35,São Paulo,3509502,CAMPINAS,0.56,3.16,0.805
35,São Paulo,3548708,SÃO BERNARDO DO CAMPO,0.54,3.54,0.805
35,São Paulo,3548906,SÃO CARLOS,0.49,2.53,0.805
35,São Paulo,3550308,SÃO PAULO,0.62,4.27,0.805
43,Rio Grande do Sul,4314902,PORTO ALEGRE,0.6,3.82,0.805
35,São Paulo,3543907,RIO CLARO,0.5,2.67,0.803
42,Santa Catarina,4208906,JARAGUÁ DO SUL,0.42,0.71,0.803
42,Santa Catarina,4214805,RIO DO SUL,0.45,2.03,0.802
35,São Paulo,3506003,BAURU,0.55,3.71,0.801
35,São Paulo,3539301,PIRASSUNUNGA,0.51,3.16,0.801
42,Santa Catarina,4217204,SÃO MIGUEL DO OESTE,0.5,3.27,0.801
32,Espírito Santo,3205200,VILA VELHA,0.56,4.27,0.8
35,São Paulo,3507506,BOTUCATU,0.54,3.3,0.8
35,São Paulo,3543402,RIBEIRÃO PRETO,0.54,2.53,0.8
35,São Paulo,3554102,TAUBATÉ,0.51,3.75,0.8
42,Santa Catarina,4204301,CONCÓRDIA,0.46,2.68,0.8
33,Rio de Janeiro,3304557,RIO DE JANEIRO,0.62,5.01,0.799
52,Goiás,5208707,GOIÂNIA,0.58,3.09,0.799
35,São Paulo,3518404,GUARATINGUETÁ,0.54,5.95,0.798
35,São Paulo,3529005,MARÍLIA,0.5,4.04,0.798
35,São Paulo,3552205,SOROCABA,0.52,3.23,0.798
35,São Paulo,3515509,FERNANDÓPOLIS,0.49,2.46,0.797
35,São Paulo,3549102,SÃO JOÃO DA BOA VISTA,0.51,1.84,0.797
35,São Paulo,3549805,SÃO JOSÉ DO RIO PRETO,0.5,1.73,0.797
42,Santa Catarina,4208302,ITAPEMA,0.49,2.7,0.796
42,Santa Catarina,4218707,TUBARÃO,0.47,1.71,0.796
43,Rio Grande do Sul,4304804,CARLOS BARBOSA,0.51,0.19,0.796
35,São Paulo,3536505,PAULÍNIA,0.48,2.56,0.795
42,Santa Catarina,4202909,BRUSQUE,0.4,0.89,0.795
42,Santa Catarina,4207577,IOMERÊ,0.33,0.98,0.795
42,Santa Catarina,4208203,ITAJAÍ,0.45,2.31,0.795
42,Santa Catarina,4218509,TREZE TÍLIAS,0.62,3.36,0.795
35,São Paulo,3519055,HOLAMBRA,0.54,2.86,0.793
35,São Paulo,3533403,NOVA ODESSA,0.41,1.54,0.791
35,São Paulo,3545159,SALTINHO,0.39,0.71,0.791
41,Paraná,4120853,QUATRO PONTES,0.47,0.93,0.791
43,Rio Grande do Sul,4310462,IPIRANGA DO SUL,0.48,2.05,0.791
43,Rio Grande do Sul,4321634,TRÊS ARROIOS,0.62,1.43,0.791
35,São Paulo,3500105,ADAMANTINA,0.51,2.57,0.79
35,São Paulo,3546207,SANTA CRUZ DA CONCEIÇÃO,0.67,2.05,0.79
35,São Paulo,3557105,VOTUPORANGA,0.49,3.29,0.79
42,Santa Catarina,4204202,CHAPECÓ,0.48,2.7,0.79
31,Minas Gerais,3170206,Uberlândia,0.5,2.98,0.789
35,São Paulo,3505500,BARRETOS,0.48,2.94,0.789
35,São Paulo,3510104,CÂNDIDO RODRIGUES,0.48,1.97,0.789
42,Santa Catarina,4210035,LUZERNA,0.43,0.85,0.789
43,Rio Grande do Sul,4311270,LAGOA DOS TRÊS CANTOS,0.43,3.78,0.789
17,Tocantins,1721000,PALMAS,0.58,6.91,0.788
26,Pernambuco,2605459,FERNANDO DE NORONHA,0.46,2.2,0.788
35,São Paulo,3502804,ARAÇATUBA,0.52,3.14,0.788
35,São Paulo,3505302,BARRA BONITA,0.45,1.54,0.788
35,São Paulo,3508504,CAÇAPAVA,0.5,5.17,0.788
35,São Paulo,3513405,CRUZEIRO,0.53,6.44,0.788
35,São Paulo,3520509,INDAIATUBA,0.47,1.43,0.788
35,São Paulo,3528502,MAIRIPORÃ,0.56,5.74,0.788
42,Santa Catarina,4204608,CRICIÚMA,0.48,2.17,0.788
31,Minas Gerais,3132404,Itajubá,0.55,4.98,0.787
35,São Paulo,3515186,ESPÍRITO SANTO DO PINHAL,0.57,2.94,0.787
35,São Paulo,3505708,BARUERI,0.61,5.65,0.786
35,São Paulo,3527108,LINS,0.45,2.89,0.786
35,São Paulo,3540002,POMPÉIA,0.47,3.43,0.786
42,Santa Catarina,4213609,PORTO UNIÃO,0.53,6.26,0.786
43,Rio Grande do Sul,4308607,GARIBALDI,0.51,1.04,0.786
35,São Paulo,3501905,AMPARO,0.5,2.49,0.785
35,São Paulo,3511102,CATANDUVA,0.46,2.35,0.785
35,São Paulo,3531407,MONTE APRAZÍVEL,0.5,1.46,0.785
35,São Paulo,3538709,PIRACICABA,0.52,3.11,0.785
35,São Paulo,3554805,TREMEMBÉ,0.53,5.95,0.785
43,Rio Grande do Sul,4304903,CASCA,0.41,2.02,0.785
43,Rio Grande do Sul,4312807,NOVA ARAÇÁ,0.45,1.37,0.785
51,Mato Grosso,5103403,CUIABÁ,0.59,5.31,0.785
35,São Paulo,3503901,ARUJÁ,0.56,6.21,0.784
35,São Paulo,3524709,JAGUARIÚNA,0.49,2.26,0.784
35,São Paulo,3530805,MOJI MIRIM,0.49,3.79,0.784
35,São Paulo,3543303,RIBEIRÃO PIRES,0.44,3.39,0.784
35,São Paulo,3546603,SANTA FÉ DO SUL,0.49,3.41,0.784
42,Santa Catarina,4215406,SALTO VELOSO,0.55,5.36,0.784
42,Santa Catarina,4218202,TIMBÓ,0.47,0.38,0.784
43,Rio Grande do Sul,4310801,IVOTI,0.44,0.95,0.784
43,Rio Grande do Sul,4316907,SANTA MARIA,0.55,5.47,0.784
50,Mato Grosso do Sul,5002704,CAMPO GRANDE,0.56,4.59,0.784
35,São Paulo,3530607,MOGI DAS CRUZES,0.54,7.06,0.783
42,Santa Catarina,4212908,PINHALZINHO,0.43,2.23,0.783
43,Rio Grande do Sul,4309605,HORIZONTINA,0.49,2.47,0.783
31,Minas Gerais,3138203,Lavras,0.5,4.35,0.782
35,São Paulo,3511508,CERQUILHO,0.42,1.15,0.782
41,Paraná,4104808,CASCAVEL,0.51,3.27,0.782
41,Paraná,4118501,PATO BRANCO,0.51,3.71,0.782
42,Santa Catarina,4215802,SÃO BENTO DO SUL,0.49,2.97,0.782
43,Rio Grande do Sul,4305108,CAXIAS DO SUL,0.48,1.72,0.782
35,São Paulo,3500402,ÁGUAS DA PRATA,0.52,3.56,0.781
35,São Paulo,3503307,ARARAS,0.47,2.31,0.781
35,São Paulo,3509007,CAIEIRAS,0.47,5.08,0.781
35,São Paulo,3545803,SANTA BÁRBARA D'OESTE,0.41,1.82,0.781
42,Santa Catarina,4202453,BOMBINHAS,0.44,1.84,0.781
42,Santa Catarina,4209201,LACERDÓPOLIS,0.39,1.16,0.781
42,Santa Catarina,4210506,MARAVILHA,0.45,2.14,0.781
42,Santa Catarina,4215703,SANTO AMARO DA IMPERATRIZ,0.38,1.64,0.781
43,Rio Grande do Sul,4310207,IJUÍ,0.57,5.95,0.781
35,São Paulo,3506102,BEBEDOURO,0.51,3.7,0.78
35,São Paulo,3506508,BIRIGUI,0.42,2.24,0.78
35,São Paulo,3507001,BOITUVA,0.49,4.2,0.78
35,São Paulo,3513009,COTIA,0.57,4.72,0.78
35,São Paulo,3516200,FRANCA,0.46,3.34,0.78
35,São Paulo,3534302,ORLÂNDIA,0.5,3.96,0.78
35,São Paulo,3545209,SALTO,0.45,3.3,0.78
42,Santa Catarina,4202859,BRAÇO DO TROMBUDO,0.36,0.78,0.78
42,Santa Catarina,4204251,COCAL DO SUL,0.37,1.82,0.78
42,Santa Catarina,4204509,CORUPÁ,0.46,2.28,0.78
42,Santa Catarina,4213203,POMERODE,0.38,0.81,0.78
43,Rio Grande do Sul,4313201,NOVA PETRÓPOLIS,0.44,1.27,0.78
43,Rio Grande do Sul,4323606,VISTA ALEGRE DO PRATA,0.44,1.27,0.78
31,Minas Gerais,3151800,Poços de Caldas,0.5,2.93,0.779
35,São Paulo,3502101,ANDRADINA,0.51,3.57,0.779
35,São Paulo,3539400,PIRATININGA,0.48,3.54,0.779
42,Santa Catarina,4217501,SEARA,0.51,1.47,0.779
31,Minas Gerais,3136702,Juiz de Fora,0.56,5.48,0.778
31,Minas Gerais,3170701,Varginha,0.51,3.83,0.778
35,São Paulo,3523404,ITATIBA,0.48,1.92,0.778
35,São Paulo,3524303,JABOTICABAL,0.52,3.8,0.778
35,São Paulo,3525300,JAÚ,0.45,2.45,0.778
35,São Paulo,3534708,OURINHOS,0.5,3.75,0.778
35,São Paulo,3554508,TIETÊ,0.48,3.3,0.778
41,Paraná,4113700,LONDRINA,0.51,3.27,0.778
42,Santa Catarina,4202800,BRAÇO DO NORTE,0.41,1.77,0.778
43,Rio Grande do Sul,4302105,BENTO GONÇALVES,0.44,1.31,0.778
43,Rio Grande do Sul,4311403,LAJEADO,0.46,1.96,0.778
43,Rio Grande do Sul,4313003,NOVA BRÉSCIA,0.58,3.58,0.778
31,Minas Gerais,3137601,Lagoa Santa,0.58,4.37,0.777
35,São Paulo,3524402,JACAREÍ,0.49,4.8,0.777
35,São Paulo,3525706,JOSÉ BONIFÁCIO,0.45,1.18,0.777
35,São Paulo,3527306,LOUVEIRA,0.5,0.93,0.777
42,Santa Catarina,4207502,INDAIAL,0.39,0.89,0.777
42,Santa Catarina,4210100,MAFRA,0.49,5.4,0.777
42,Santa Catarina,4213005,PINHEIRO PRETO,0.45,2.28,0.777
43,Rio Grande do Sul,4307906,FARROUPILHA,0.43,1.37,0.777
43,Rio Grande do Sul,4320107,SARANDI,0.52,2.58,0.777
43,Rio Grande do Sul,4320305,SELBACH,0.47,2.61,0.777
43,Rio Grande do Sul,4323200,VICTOR GRAEFF,0.46,2.23,0.777
31,Minas Gerais,3133758,Itaú de Minas,0.56,4.09,0.776
35,São Paulo,3502903,ARAÇOIABA DA SERRA,0.52,4.14,0.776
35,São Paulo,3507605,BRAGANÇA PAULISTA,0.52,3.22,0.776
35,São Paulo,3514403,DRACENA,0.44,2.4,0.776
35,São Paulo,3521408,IRACEMÁPOLIS,0.4,2.93,0.776
35,São Paulo,3524808,JALES,0.46,3.37,0.776
35,São Paulo,3534401,OSASCO,0.53,4.8,0.776
35,São Paulo,3539202,PIRAPOZINHO,0.52,6.17,0.776
43,Rio Grande do Sul,4307005,ERECHIM,0.48,3.29,0.776
43,Rio Grande do Sul,4314100,PASSO FUNDO,0.52,3.63,0.776
31,Minas Gerais,3171303,Viçosa,0.56,7.35,0.775
35,São Paulo,3526902,LIMEIRA,0.48,3.25,0.775
35,São Paulo,3547502,SANTA RITA DO PASSA QUATRO,0.48,3.42,0.775
42,Santa Catarina,4208401,ITAPIRANGA,0.45,3.06,0.775
42,Santa Catarina,4218608,TROMBUDO CENTRAL,0.44,1.88,0.775
42,Santa Catarina,4219507,XANXERÊ,0.48,5.55,0.775
52,Goiás,5205406,CERES,0.53,4.43,0.775
31,Minas Gerais,3152501,Pouso Alegre,0.49,4.1,0.774
35,São Paulo,3513306,CRUZÁLIA,0.43,7.83,0.774
35,São Paulo,3530706,MOGI GUAÇU,0.44,2.94,0.774
35,São Paulo,3537156,PEDRINHAS PAULISTA,0.56,6.3,0.774
35,São Paulo,3549706,SÃO JOSÉ DO RIO PARDO,0.49,5.27,0.774
41,Paraná,4108403,FRANCISCO BELTRÃO,0.47,4.38,0.774
41,Paraná,4114609,MARECHAL CÂNDIDO RONDON,0.53,2.15,0.774
42,Santa Catarina,4210605,MASSARANDUBA,0.34,1.47,0.774
42,Santa Catarina,4211801,OURO,0.45,4.14,0.774
42,Santa Catarina,4217600,SIDERÓPOLIS,0.4,2.53,0.774
42,Santa Catarina,4218350,TREVISO,0.34,0.71,0.774
43,Rio Grande do Sul,4311809,MARAU,0.44,1.31,0.774
31,Minas Gerais,3103504,Araguari,0.47,4.22,0.773
33,Rio de Janeiro,3304524,RIO DAS OSTRAS,0.53,5.26,0.773
35,São Paulo,3504206,AURIFLAMA,0.47,1.41,0.773
35,São Paulo,3523909,ITU,0.52,2.84,0.773
35,São Paulo,3529302,MATÃO,0.52,3.55,0.773
35,São Paulo,3533908,OLÍMPIA,0.43,3.64,0.773
35,São Paulo,3538006,PINDAMONHANGABA,0.52,6.79,0.773
35,São Paulo,3547205,SANTANA DA PONTE PENSA,0.42,0.96,0.773
35,São Paulo,3551306,SEBASTIANÓPOLIS DO SUL,0.42,1.18,0.773
42,Santa Catarina,4217550,SERRA ALTA,0.41,1.39,0.773
43,Rio Grande do Sul,4314001,PARAÍ,0.47,1.51,0.773
43,Rio Grande do Sul,4316808,SANTA CRUZ DO SUL,0.49,3.68,0.773
43,Rio Grande do Sul,4322806,VERANÓPOLIS,0.47,1.96,0.773
26,Pernambuco,2611606,RECIFE,0.68,13.2,0.772
31,Minas Gerais,3104007,Araxá,0.48,2.91,0.772
31,Minas Gerais,3170107,Uberaba,0.5,3.4,0.772
35,São Paulo,3531001,MONÇÕES,0.43,3.79,0.772
35,São Paulo,3544905,SALES OLIVEIRA,0.43,1.84,0.772
35,São Paulo,3547650,SANTA SALETE,0.35,2.85,0.772
35,São Paulo,3550704,SÃO SEBASTIÃO,0.49,3.47,0.772
42,Santa Catarina,4219002,URUSSANGA,0.4,2.46,0.772
43,Rio Grande do Sul,4300901,ARATIBA,0.54,2.62,0.772
43,Rio Grande do Sul,4317509,SANTO ÂNGELO,0.54,5.66,0.772
31,Minas Gerais,3131307,Ipatinga,0.52,5.92,0.771
33,Rio de Janeiro,3306305,VOLTA REDONDA,0.5,4.77,0.771
35,São Paulo,3528809,MARACAÍ,0.42,3.41,0.771
35,São Paulo,3539806,POÁ,0.43,6.8,0.771
35,São Paulo,3555000,TUPÃ,0.54,4.98,0.771
42,Santa Catarina,4208005,ITÁ,0.45,3.39,0.771
42,Santa Catarina,4209458,LAJEADO GRANDE,0.44,4.85,0.771
28,Sergipe,2800308,ARACAJU,0.62,11.11,0.77
31,Minas Gerais,3143302,Montes Claros,0.53,11.99,0.77
31,Minas Gerais,3168705,Timóteo,0.48,5.57,0.77
35,São Paulo,3528007,MACATUBA,0.55,2.69,0.77
35,São Paulo,3534104,ORIENTE,0.44,5.57,0.77
35,São Paulo,3534757,OUROESTE,0.43,4.06,0.77
35,São Paulo,3547601,SANTA ROSA DE VITERBO,0.5,5.44,0.77
35,São Paulo,3556453,VARGEM GRANDE PAULISTA,0.5,4.33,0.77
42,Santa Catarina,4201505,ARMAZÉM,0.44,1.58,0.77
42,Santa Catarina,4209300,LAGES,0.54,6.24,0.77
42,Santa Catarina,4213906,PRESIDENTE CASTELLO BRANCO,0.47,1.82,0.77
31,Minas Gerais,3105608,Barbacena,0.58,9.07,0.769
35,São Paulo,3509601,CAMPO LIMPO PAULISTA,0.43,3.64,0.769
35,São Paulo,3512803,COSMÓPOLIS,0.42,2.83,0.769
35,São Paulo,3516705,GARÇA,0.5,6.94,0.769
35,São Paulo,3537107,PEDREIRA,0.42,1.89,0.769
35,São Paulo,3552809,TABOÃO DA SERRA,0.47,4.72,0.769
35,São Paulo,3555109,TUPI PAULISTA,0.49,2.78,0.769
42,Santa Catarina,4216008,SÃO CARLOS,0.46,2.92,0.769
42,Santa Catarina,4217402,SCHROEDER,0.34,1.2,0.769
43,Rio Grande do Sul,4301008,ARROIO DO MEIO,0.36,1.09,0.769
43,Rio Grande do Sul,4317202,SANTA ROSA,0.47,3.98,0.769
21,Maranhão,2111300,SÃO LUÍS,0.61,13.81,0.768
33,Rio de Janeiro,3304201,RESENDE,0.52,5.28,0.768
35,São Paulo,3506409,BILAC,0.43,1.43,0.768
35,São Paulo,3520103,IGARAPAVA,0.67,3.15,0.768
35,São Paulo,3531308,MONTE ALTO,0.42,2.07,0.768
35,São Paulo,3542404,REGENTE FEIJÓ,0.46,3.5,0.768
35,São Paulo,3550605,SÃO ROQUE,0.5,4.76,0.768
35,São Paulo,3551009,SÃO VICENTE,0.47,5.93,0.768
41,Paraná,4117909,PALOTINA,0.47,2.85,0.768
41,Paraná,4127700,TOLEDO,0.46,2.88,0.768
42,Santa Catarina,4210407,MARACAJÁ,0.5,2.51,0.768
42,Santa Catarina,4211603,NOVA VENEZA,0.39,1.32,0.768
43,Rio Grande do Sul,4312955,NOVA BOA VISTA,0.4,1.08,0.768
43,Rio Grande do Sul,4319000,SÃO MARCOS,0.41,1.41,0.768
43,Rio Grande do Sul,4321907,TRÊS PASSOS,0.45,6.24,0.768
51,Mato Grosso,5105259,LUCAS DO RIO VERDE,0.46,2.64,0.768
35,São Paulo,3504503,AVARÉ,0.47,3.83,0.767
35,São Paulo,3534203,ORINDIÚVA,0.38,1.45,0.767
35,São Paulo,3551603,SERRA NEGRA,0.48,3.19,0.767
35,São Paulo,3557006,VOTORANTIM,0.4,3.89,0.767
41,Paraná,4107207,DOIS VIZINHOS,0.47,4.62,0.767
42,Santa Catarina,4203956,CAPIVARI DE BAIXO,0.36,2.58,0.767
43,Rio Grande do Sul,4306809,ENCANTADO,0.42,2.21,0.767
43,Rio Grande do Sul,4307807,ESTRELA,0.42,1.23,0.767
43,Rio Grande do Sul,4313466,NOVO XINGU,0.41,1.86,0.767
24,Rio Grande do Norte,2403251,PARNAMIRIM,0.55,10.91,0.766
35,São Paulo,3501152,ALUMÍNIO,0.42,5.73,0.766
35,São Paulo,3511300,CEDRAL,0.42,2.77,0.766
35,São Paulo,3527207,LORENA,0.52,8.5,0.766
35,São Paulo,3529401,MAUÁ,0.44,5.28,0.766
35,São Paulo,3537404,PEREIRA BARRETO,0.48,5.65,0.766
35,São Paulo,3539905,POLONI,0.39,0.65,0.766
35,São Paulo,3550902,SÃO SIMÃO,0.45,4.37,0.766
41,Paraná,4111605,IVATUBA,0.43,4.27,0.766
42,Santa Catarina,4212601,PERITIBA,0.47,6.67,0.766
43,Rio Grande do Sul,4304671,CAPIVARI DO SUL,0.68,6.19,0.766
43,Rio Grande do Sul,4304705,CARAZINHO,0.51,5.82,0.766
43,Rio Grande do Sul,4313300,NOVA PRATA,0.43,2.26,0.766
43,Rio Grande do Sul,4317400,SANTIAGO,0.51,6.85,0.766
52,Goiás,5205109,CATALÃO,0.51,4.02,0.766
31,Minas Gerais,3148004,Patos de Minas,0.5,4.55,0.765
33,Rio de Janeiro,3302700,MARICÁ,0.49,4.88,0.765
35,São Paulo,3504107,ATIBAIA,0.53,4.52,0.765
35,São Paulo,3524105,ITUVERAVA,0.52,3.1,0.765
35,São Paulo,3532900,NOVA EUROPA,0.39,3.16,0.765
35,São Paulo,3552502,SUZANO,0.47,8.54,0.765
42,Santa Catarina,4205902,GASPAR,0.37,1.24,0.765
42,Santa Catarina,4207304,IMBITUBA,0.45,5.08,0.765
42,Santa Catarina,4211405,NOVA ERECHIM,0.44,2.61,0.765
42,Santa Catarina,4216107,SÃO DOMINGOS,0.58,5.48,0.765
43,Rio Grande do Sul,4305587,COLINAS,0.47,2.2,0.765
43,Rio Grande do Sul,4307500,ESPUMOSO,0.49,5.14,0.765
43,Rio Grande do Sul,4309407,GUAPORÉ,0.42,0.86,0.765
43,Rio Grande do Sul,4310009,IBIRUBÁ,0.49,3.09,0.765
43,Rio Grande do Sul,4312658,NÃO-ME-TOQUE,0.5,2.2,0.765
17,Tocantins,1716109,PARAÍSO DO TOCANTINS,0.62,6.41,0.764
31,Minas Gerais,3122306,Divinópolis,0.47,2.67,0.764
31,Minas Gerais,3145901,Ouro Branco,0.52,5.91,0.764
33,Rio de Janeiro,3302403,MACAÉ,0.56,4.63,0.764
35,São Paulo,3508603,CACHOEIRA PAULISTA,0.52,7.63,0.764
35,São Paulo,3526803,LENÇÓIS PAULISTA,0.43,2.73,0.764
35,São Paulo,3544251,ROSANA,0.6,11.37,0.764
42,Santa Catarina,4201604,ARROIO TRINTA,0.45,0.76,0.764
42,Santa Catarina,4219309,VIDEIRA,0.47,1.76,0.764
43,Rio Grande do Sul,4305207,CERRO LARGO,0.47,2.85,0.764
43,Rio Grande do Sul,4309100,GRAMADO,0.48,2.18,0.764
43,Rio Grande do Sul,4310330,IMBÉ,0.68,5.75,0.764
43,Rio Grande do Sul,4312351,MONTAURI,0.35,0.47,0.764
43,Rio Grande do Sul,4316204,RONDINHA,0.47,3.11,0.764
43,Rio Grande do Sul,4317558,SANTO ANTÔNIO DO PALMA,0.49,4.11,0.764
43,Rio Grande do Sul,4319711,SÃO VALENTIM DO SUL,0.45,4.13,0.764
24,Rio Grande do Norte,2408102,NATAL,0.61,10.5,0.763
25,Paraíba,2507507,JOÃO PESSOA,0.62,11.59,0.763
35,São Paulo,3508108,BURITAMA,0.44,4.57,0.763
35,São Paulo,3516507,GABRIEL MONTEIRO,0.37,0.88,0.763
35,São Paulo,3518206,GUARARAPES,0.43,3.29,0.763
35,São Paulo,3518800,GUARULHOS,0.51,6.5,0.763
35,São Paulo,3522307,ITAPETININGA,0.49,7.16,0.763
35,São Paulo,3541505,PRESIDENTE VENCESLAU,0.49,4.53,0.763
41,Paraná,4115804,MEDIANEIRA,0.49,3.93,0.763
41,Paraná,4118402,PARANAVAÍ,0.48,3.79,0.763
41,Paraná,4119905,PONTA GROSSA,0.54,6.72,0.763
43,Rio Grande do Sul,4301958,BARRA FUNDA,0.39,2.71,0.763
43,Rio Grande do Sul,4307864,FAGUNDES VARELA,0.35,0.63,0.763
43,Rio Grande do Sul,4318051,SÃO DOMINGOS DO SUL,0.44,0.96,0.763
43,Rio Grande do Sul,4319372,SÃO PEDRO DO BUTIÁ,0.46,4.44,0.763
35,São Paulo,3522604,ITAPIRA,0.45,2.78,0.762
35,São Paulo,3524006,ITUPEVA,0.43,3.6,0.762
35,São Paulo,3530300,MIRASSOL,0.43,2.4,0.762
35,São Paulo,3530508,MOCOCA,0.53,3.78,0.762
35,São Paulo,3534609,OSVALDO CRUZ,0.46,4.46,0.762
35,São Paulo,3535507,PARAGUAÇU PAULISTA,0.45,6.39,0.762
35,São Paulo,3546405,SANTA CRUZ DO RIO PARDO,0.46,2.89,0.762
35,São Paulo,3549409,SÃO JOAQUIM DA BARRA,0.42,2.51,0.762
35,São Paulo,3552403,SUMARÉ,0.45,3.84,0.762
41,Paraná,4126355,SERRANÓPOLIS DO IGUAÇU,0.5,1.68,0.762
42,Santa Catarina,4216206,SÃO FRANCISCO DO SUL,0.45,5.63,0.762
43,Rio Grande do Sul,4302204,BOA VISTA DO BURICÁ,0.43,2.58,0.762
43,Rio Grande do Sul,4306304,DAVID CANABARRO,0.44,2.6,0.762
43,Rio Grande do Sul,4316436,SALDANHA MARINHO,0.43,3.09,0.762
43,Rio Grande do Sul,4321501,TORRES,0.47,3.75,0.762
31,Minas Gerais,3101607,Alfenas,0.51,5.53,0.761
31,Minas Gerais,3118304,Conselheiro Lafaiete,0.49,5.95,0.761
33,Rio de Janeiro,3301876,IGUABA GRANDE,0.56,9.25,0.761
35,São Paulo,3505906,BATATAIS,0.5,3.88,0.761
35,São Paulo,3520608,INDIANA,0.45,4.42,0.761
35,São Paulo,3547403,SANTA RITA D'OESTE,0.39,2.87,0.761
35,São Paulo,3551702,SERTÃOZINHO,0.46,2.89,0.761
41,Paraná,4107538,ENTRE RIOS DO OESTE,0.5,3.07,0.761
41,Paraná,4128104,UMUARAMA,0.48,2.79,0.761
42,Santa Catarina,4208450,ITAPOÁ,0.47,5.51,0.761
42,Santa Catarina,4216255,SÃO JOÃO DO OESTE,0.4,1.4,0.761
42,Santa Catarina,4217808,TAIÓ,0.43,1.81,0.761
42,Santa Catarina,4219853,ZORTÉA,0.42,3.15,0.761
43,Rio Grande do Sul,4313086,NOVA PÁDUA,0.32,0.34,0.761
43,Rio Grande do Sul,4313904,PANAMBI,0.44,3.2,0.761
43,Rio Grande do Sul,4323408,VILA MARIA,0.4,0.71,0.761
31,Minas Gerais,3167202,Sete Lagoas,0.53,6.11,0.76
35,São Paulo,3513702,DESCALVADO,0.45,5.24,0.76
35,São Paulo,3515202,ESTRELA D'OESTE,0.39,4.95,0.76
35,São Paulo,3525003,JANDIRA,0.48,4.4,0.76
35,São Paulo,3545605,SANTA ADÉLIA,0.43,2.79,0.76
35,São Paulo,3553203,TAIÚVA,0.42,3.38,0.76
41,Paraná,4122305,RIO NEGRO,0.48,7.2,0.76
42,Santa Catarina,4201406,ARARANGUÁ,0.45,2.9,0.76
42,Santa Catarina,4210902,MODELO,0.43,3.58,0.76
42,Santa Catarina,4213500,PORTO BELO,0.42,1.93,0.76
42,Santa Catarina,4218004,TIJUCAS,0.41,3.81,0.76
43,Rio Grande do Sul,4303806,CAMPINAS DO SUL,0.46,3.53,0.76
43,Rio Grande do Sul,4308508,FREDERICO WESTPHALEN,0.47,4.98,0.76
43,Rio Grande do Sul,4310538,ITAARA,0.61,7.21,0.76
43,Rio Grande do Sul,4320404,SERAFINA CORRÊA,0.36,1.72,0.76
43,Rio Grande do Sul,4320909,TAPEJARA,0.44,1.47,0.76
52,Goiás,5208509,GOIANDIRA,0.43,4.63,0.76
17,Tocantins,1709500,GURUPI,0.54,7.14,0.759
29,Bahia,2927408,SALVADOR,0.63,11.35,0.759
31,Minas Gerais,3163706,São Lourenço,0.51,5.89,0.759
35,São Paulo,3510500,CARAGUATATUBA,0.5,6.41,0.759
35,São Paulo,3520806,INÚBIA PAULISTA,0.37,1.81,0.759
35,São Paulo,3531209,MONTE ALEGRE DO SUL,0.48,2.59,0.759
35,São Paulo,3537305,PENÁPOLIS,0.47,3.38,0.759
35,São Paulo,3544004,RIO DAS PEDRAS,0.45,3.59,0.759
35,São Paulo,3544509,RUBINÉIA,0.39,2.3,0.759
35,São Paulo,3553658,TAQUARAL,0.51,3.52,0.759
35,São Paulo,3556503,VÁRZEA PAULISTA,0.39,3.76,0.759
